SISAIRE;;;;;;;;;;;;;;;;;
SABANA DE INFORMACIÓN DE SISAIRE;;;;;;;;;;;;;;;;;
Fecha de procesamiento :23/05/2026, 11:09:37 AM;;;;;;;;;;;;;;;;;
SECCION CONSULTA DE MEDICIONES;;;;;;;;;;;;;;;;;
REPORTE GENERADO ENTRE 2014-01-01 - 2026-03-31;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Estacion;Fecha inicial;Fecha final;PM2.5;;;;;;;;;;;;;;
KENNEDY;2025-06-07;;11.80416667;;;;;;;;;;;;;;
KENNEDY;2025-06-06;;15.11304348;;;;;;;;;;;;;;
KENNEDY;2025-06-05;;12.83333333;;;;;;;;;;;;;;
KENNEDY;2025-06-04;;8.105;;;;;;;;;;;;;;
KENNEDY;2025-06-03;;6.35;;;;;;;;;;;;;;
KENNEDY;2025-06-02;;4.08695652;;;;;;;;;;;;;;
KENNEDY;2025-06-01;;8.6;;;;;;;;;;;;;;
KENNEDY;2025-05-31;;11.57391304;;;;;;;;;;;;;;
KENNEDY;2025-05-30;;17.3375;;;;;;;;;;;;;;
KENNEDY;2025-05-29;;15.54166667;;;;;;;;;;;;;;
KENNEDY;2025-05-28;;11.8826087;;;;;;;;;;;;;;
KENNEDY;2025-05-27;;22.71363636;;;;;;;;;;;;;;
KENNEDY;2025-05-26;;11.10833333;;;;;;;;;;;;;;
KENNEDY;2025-05-25;;9.10833333;;;;;;;;;;;;;;
KENNEDY;2025-05-24;;11.2;;;;;;;;;;;;;;
KENNEDY;2025-05-23;;11.60416667;;;;;;;;;;;;;;
KENNEDY;2025-05-22;;18.4;;;;;;;;;;;;;;
KENNEDY;2025-05-21;;17.29583333;;;;;;;;;;;;;;
KENNEDY;2025-05-20;;13.55416667;;;;;;;;;;;;;;
KENNEDY;2025-05-19;;18.22083333;;;;;;;;;;;;;;
KENNEDY;2025-05-18;;15.61666667;;;;;;;;;;;;;;
KENNEDY;2025-05-17;;12.40416667;;;;;;;;;;;;;;
KENNEDY;2025-05-16;;21.21666667;;;;;;;;;;;;;;
KENNEDY;2025-05-15;;16.13333333;;;;;;;;;;;;;;
KENNEDY;2025-05-14;;15.29166667;;;;;;;;;;;;;;
KENNEDY;2025-05-13;;9.97083333;;;;;;;;;;;;;;
KENNEDY;2025-05-12;;6.45416667;;;;;;;;;;;;;;
KENNEDY;2025-05-11;;6.32173913;;;;;;;;;;;;;;
KENNEDY;2025-05-10;;9.65;;;;;;;;;;;;;;
KENNEDY;2025-05-09;;16.9125;;;;;;;;;;;;;;
KENNEDY;2025-05-08;;19.0125;;;;;;;;;;;;;;
KENNEDY;2025-05-07;;11.04210526;;;;;;;;;;;;;;
KENNEDY;2025-05-06;;23.75;;;;;;;;;;;;;;
KENNEDY;2025-05-05;;9.74166667;;;;;;;;;;;;;;
KENNEDY;2025-05-04;;19.91666667;;;;;;;;;;;;;;
KENNEDY;2025-05-03;;12.6625;;;;;;;;;;;;;;
KENNEDY;2025-05-02;;18.8625;;;;;;;;;;;;;;
KENNEDY;2025-05-01;;16.92083333;;;;;;;;;;;;;;
KENNEDY;2025-04-30;;12.97826087;;;;;;;;;;;;;;
KENNEDY;2025-04-29;;21.45;;;;;;;;;;;;;;
KENNEDY;2025-04-28;;12.40416667;;;;;;;;;;;;;;
KENNEDY;2025-04-27;;14.75833333;;;;;;;;;;;;;;
